clade	inclusive_count	exclusive_count
B.1.625	142	142
B.1.626	109	109
B.1.627	292	292
B.1.629	11	11
B.1.630	92	92
B.1.631	175	175
B.1.632	59	59
B.1.634	180	180
B.1.635	19	19
B.1.636	78	78
B.1.637	10965	10920
B.1.637.1	45	45
B.1.639	33	33
B.1.640	61	1
B.1.640.1	47	47
B.1.640.2	13	13
B.1.67	22	22
B.1.69	23	23
B.1.70	36	36
B.1.76	80	80
B.1.77	23	23
B.1.78	94	51
B.1.8	252	252
B.1.81	34	34
B.1.88.1	20	20
B.1.9	313	48
B.1.9.1	30	30
B.1.9.2	10	10
B.1.9.4	166	166
B.1.9.5	59	59
B.1.91	132	132
B.1.93	1012	1012
B.1.96	33	33
B.1.97	40	40
B.10	127	127
B.11	122	122
B.12	21	21
B.13	21	21
B.15	46	46
B.18	21	21
B.19	27	27
B.20	43	43
B.23	308	308
B.26	65	65
B.27	59	59
B.28	253	253
B.29	220	220
B.3	1267	696
B.3.1	571	571
B.30	26	26
B.31	224	224
B.32	35	35
B.33	1846	1230
B.34	72	72
B.35	80	80
B.37	5	5
B.39	424	355
B.4	283	155
B.4.4	27	27
B.4.5	70	70
B.4.6	7	7
B.4.7	17	17
B.4.8	7	7
B.40	2334	2258
B.41	7	7
B.42	6	6
B.43	22	22
B.45	254	254
B.46	48	48
B.47	46	46
B.5	18	18
B.51	20	20
B.52	80	80
B.55	310	188
B.57	61	61
B.58	69	69
B.59	733	174
B.6	272	255
B.6.6	17	17
B.60	76	76
B.61	2463	129
BA.1	960793	181805
BA.1.1	494432	395202
BA.1.1.1	14106	13891
BA.1.1.10	908	908
BA.1.1.11	2801	2801
BA.1.1.12	4121	4121
BA.1.1.13	7894	7894
